Name,Fulladdress,Categories,Time Zone,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Place Id,phone,Municipality,Phones
G&G Medan Express Laundry,"Jl. Seksama No.93, Sitirejo III, Kec. Medan Amplas, Kota Medan, Sumatera Utara 2",Layanan Binatu,Asia/Jakarta,NO,1.0,5.0,https://search.google.com/local/reviews?placeid=ChIJU7Kv6aExMTARCGifpqJgKT8&q=la,https://www.google.com/maps?cid=4551275150131030024,3.5520086,98.7136317,0,0,,https://lh5.googleusercontent.com/p/AF1QipNBA5lG6Uar_jeqJ4hM-1ZRqcl7PLghgU_4MIsg,ChIJU7Kv6aExMTARCGifpqJgKT8,,,
Fathia Laundry,"Jl. Garu II A, Harjosari I, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20147",Binatu,Asia/Jakarta,YES,43.0,5.0,https://search.google.com/local/reviews?placeid=ChIJwcSI9joxMTARLehZEoUNBNY&q=la,https://www.google.com/maps?cid=15421465889213114413,3.5456277,98.7025361,0,0,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipNXkNUUZmN9d9829DdZHN2cK7KiXjcPYHFxCTsx,ChIJwcSI9joxMTARLehZEoUNBNY,+62 823-6799-9920,,
ocean fresh laundry,"A M P L A S, Medan Amplas, A M P L A S, Kec. Medan Amplas, Kota Medan, Sumatera ",Layanan Binatu,Asia/Jakarta,YES,1.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ2_5OLCMxMTARqwdZMBISi_E&q=la,https://www.google.com/maps?cid=17405025054233266091,3.5517831,98.7179786,0,0,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B1RttkihkMlq8l1xC,ChIJ2_5OLCMxMTARqwdZMBISi_E,,,
PRATAMA Laundry,"Jl. Panglima Denai No.104, A M P L A S, Kec. Medan Amplas, Kota Medan, Sumatera ",Binatu,Asia/Jakarta,YES,2.0,5.0,https://search.google.com/local/reviews?placeid=ChIJHbd2L7UxMTARGCHkkw9uUPY&q=la,https://www.google.com/maps?cid=17748807144651890968,3.5484378,98.7162726,0,0,"Minggu: [08.00-17.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPIpRrsa15tIO_Q643WFSO1IQ1BO9QXRhwIEsRJ,ChIJHbd2L7UxMTARGCHkkw9uUPY,,,
Nayala Laundry,"GMGW+HPM, Jl. Swadaya, gg.pete, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20",Binatu,Asia/Jakarta,NO,1.0,5.0,https://search.google.com/local/reviews?placeid=ChIJNQvrBt47MTARqyKJzw9uPZw&q=la,https://www.google.com/maps?cid=11258275657681543851,3.5264592,98.6968022,0,0,"Minggu: [Tutup], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00-21.00",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uWYCgM9vZm7KbpZix,ChIJNQvrBt47MTARqyKJzw9uPZw,+62 812-6470-0604,,
Nadine Laundry,"GMVX+GX5, Harjosari I, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20217",Binatu,Asia/Jakarta,NO,1.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ1dt8zCAxMTARa-4VlvF2X5U&q=la,https://www.google.com/maps?cid=10763452414415990379,3.5437726,98.6999927,0,0,"Minggu: [Tutup], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00-21.00",https://lh5.googleusercontent.com/p/AF1QipOK2dJmE8Y_TraLofOJH50G1o-4Hx2EIGrbZrNF,ChIJ1dt8zCAxMTARa-4VlvF2X5U,+62 852-7093-5395,,
Berkah Laundry Express,"GPM7+26C, Harjosari II, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20148",Binatu,Asia/Jakarta,YES,3.0,5.0,https://search.google.com/local/reviews?placeid=ChIJI9WFBAA7MTARcXpwleqbZVE&q=la,https://www.google.com/maps?cid=5865265521551768177,3.5327741,98.7127252,0,0,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipP5OZTM9JuEa0ndviGBYj8SqvhGhKVmY0Zxrl0B,ChIJI9WFBAA7MTARcXpwleqbZVE,,,
Hezi Laundry,"GPW6+5G7, Gg. Bakti, Harjosari I, Kec. Medan Amplas, Kota Medan, Sumatera Utara",Binatu,Asia/Jakarta,NO,4.0,5.0,https://search.google.com/local/reviews?placeid=ChIJscXbm58xMTARAgsV3g_1rCE&q=la,https://www.google.com/maps?cid=2426583747745090306,3.5454016,98.7112989,0,0,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipNBNsWt9KlqKEv16wXczFGndgPUtEFzxiJ8anpI,ChIJscXbm58xMTARAgsV3g_1rCE,,,
Dinar Laundry,"GPJC+4P4, Jl. Pelita, Timbang Deli, Kec. Medan Amplas, Kota Medan, Sumatera Utar",Layanan Binatu,Asia/Jakarta,NO,20.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ-yItGuU7MTAR0rHkiFOkJ5I&q=la,https://www.google.com/maps?cid=10531566932315124178,3.5302519,98.7218239,0,0,"Minggu: [09.30-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPDbPxyKVE5lnrrVzlnVjRwEJ36_C5U1maxOK0A,ChIJ-yItGuU7MTAR0rHkiFOkJ5I,,,
Queen laundry express siap 1 hari,"Jl. Garu 1 No.144, Sitirejo III, Kec. Medan Amplas, Kota Medan, Sumatera Utara 2",Layanan Binatu,Asia/Jakarta,YES,1.0,5.0,https://search.google.com/local/reviews?placeid=ChIJCVTCwfcxMTARsAMeNI1QyeE&q=la,https://www.google.com/maps?cid=16269623696247620528,3.5474779,98.7087411,0,0,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPbMFRP24gDmuYzqxMeyy1HBmngqwhke_V7o0-o,ChIJCVTCwfcxMTARsAMeNI1QyeE,+62 813-6239-6604,,
