Name,Fulladdress,Municipality,Categories,Time Zone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image
Laundryklin Sudirman ( Laundry Antar Jemput Bandung),"Jl. Jend. Sudirman No.486, Ciroyom, Kec. Andir, Kota Bandung, Jawa Barat 40182",Ciroyom,Layanan Binatu,Asia/Jakarta,"0851-7335-8871, +62 851-7335-8871",YES,151.0,4.8,https://search.google.com/local/reviews?placeid=ChIJeyjbcZDnaC4RwCpbF3sZSoM&q=la,https://www.google.com/maps?cid=9460401983708670656,-6.918552099999999,107.586449,None,None,"Sabtu: [07.00-21.00], Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipMUOc9jYX0x4nRX5Q90qMlL0ZnPNoE3KW3boGeo
The Laundry Room,"Jl. Ciroyom No.95/77, Dungus Cariang, Kec. Andir, Kota Bandung, Jawa Barat 40183",Dungus Cariang,Layanan Binatu,Asia/Jakarta,"(022) 20562320, +62 22 20562320",YES,3.0,5.0,https://search.google.com/local/reviews?placeid=ChIJefGZ3_DnaC4Rgr0aAGnVfQ8&q=la,https://www.google.com/maps?cid=1116282929607785858,-6.9099281,107.5808385,https://www.instagram.com/the.laundry.room.bandung/,instagram.com,"Sabtu: [Buka 24 jam], Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka",https://lh5.googleusercontent.com/p/AF1QipOt-Oz24nLVBMfXXa8jr_sk0N-fXgF0V2KrxQwp
Nadhif Laundry ciroyom bandung,"Gg. Sastra No.272/78, Dungus Cariang, Kec. Andir, Kota Bandung, Jawa Barat 40183",Dungus Cariang,Binatu,Asia/Jakarta,"(022) 6036296, +62 22 6036296",NO,6.0,4.7,https://search.google.com/local/reviews?placeid=ChIJ____vw7maC4ReCU8b1DefRY&q=la,https://www.google.com/maps?cid=1620695877968209272,-6.9153486,107.5858069,None,None,"Sabtu: [08.00-20.00], Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.0",https://lh5.googleusercontent.com/p/AF1QipPN10OFl-3B7b2Y8Hs5R7p9h1kSq56iuQlokvJk
Laundry Club Rajawali,"Jl. Rajawali Barat No.25, Garuda, Kec. Andir, Kota Bandung, Jawa Barat 40184",Garuda,Layanan Binatu,Asia/Jakarta,"0851-7324-7944, +62 851-7324-7944",YES,33.0,4.9,https://search.google.com/local/reviews?placeid=ChIJybkzAYDlaC4R6EZYDKexKw4&q=la,https://www.google.com/maps?cid=1021105071554316008,-6.9110765,107.5708683,https://bit.ly/customer_laundryclub_rajawali,bit.ly,"Sabtu: [07.00-20.00], Minggu: [09.00-17.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipMERU9L2wV3SKE9XFmbOXrjHJVOv1v1rqREZyv7
EZpress Home Laundry,"Jl. Durman No.4, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40181",Kb. Jeruk,Layanan Binatu,Asia/Jakarta,"0823-2020-9878, +62 823-2020-9878",YES,50.0,4.2,https://search.google.com/local/reviews?placeid=ChIJqeluBgHnaC4RDdSogHEMm3s&q=la,https://www.google.com/maps?cid=8906726369684673549,-6.9199174,107.5998412,None,None,"Sabtu: [07.00-18.00], Minggu: [Tutup], Senin: [07.00-18.00], Selasa: [07.00-18.0",https://lh5.googleusercontent.com/p/AF1QipOy4xsGAmFibU_hdTTmNSYAPvuKI-BkRQjpbO0b
Joy Laundry,"Jl. Halteu Utara No.25, Dungus Cariang, Kec. Andir, Kota Bandung, Jawa Barat 401",Dungus Cariang,Layanan Binatu,Asia/Jakarta,"0813-2124-3338, +62 813-2124-3338",YES,2.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ4Rt_343naC4Ri7thDOvz3zA&q=la,https://www.google.com/maps?cid=3521801624477612939,-6.9115267,107.5794329,None,None,"Sabtu: [07.30-17.00], Minggu: [Tutup], Senin: [07.30-17.00], Selasa: [07.30-17.0",https://lh5.googleusercontent.com/p/AF1QipMJHFz8n3dVxD6vb0PsH7gmnSKuOznjVeAb8xn9
BBC laundry,"Jl. Babakan Cianjur No.51, Campaka, Kec. Andir, Kota Bandung, Jawa Barat 40175",Campaka,Layanan Binatu,Asia/Jakarta,"0813-1239-5400, +62 813-1239-5400",YES,19.0,4.8,https://search.google.com/local/reviews?placeid=ChIJByGlcJblaC4R7-rJM988SqA&q=la,https://www.google.com/maps?cid=11550111123689302767,-6.894197,107.5655893,None,None,"Sabtu: [07.30-19.00], Minggu: [07.30-17.00], Senin: [07.30-19.00], Selasa: [07.3",https://lh5.googleusercontent.com/p/AF1QipNCs64gfDAduE6D4CeRI21MaBr1914kh8Q4hk_v
BT Laundry,"Alfa, Jl. Burung Tungku No.16, Maleber, Andir, Bandung City, West Java 40184",Jl. Burung Tungku No.16,Layanan Binatu,Asia/Jakarta,"0821-3865-8840, +62 821-3865-8840",YES,7.0,4.1,https://search.google.com/local/reviews?placeid=ChIJwTF2DA_laC4RBqecAQZ5gQA&q=la,https://www.google.com/maps?cid=36443338699482886,-6.9105021,107.5723271,None,None,"Sabtu: [08.00-19.00], Minggu: [07.00-13.00], Senin: [08.00-19.00], Selasa: [08.0",https://lh5.googleusercontent.com/p/AF1QipMkFPXT1WmVCQ1AbfpIi2ewxYnSLdnd1xodj923
M49 Laundry,"Jl. Maleber Utara No.49, Maleber, Kec. Andir, Kota Bandung, Jawa Barat 40184",Maleber,Layanan Binatu,Asia/Jakarta,None,YES,8.0,5.0,https://search.google.com/local/reviews?placeid=ChIJeeSod_fnaC4R4XgzoIdmrhU&q=la,https://www.google.com/maps?cid=1562298853438486753,-6.9076659,107.5784452,None,None,"Sabtu: [09.00-19.00], Minggu: [Tutup], Senin: [09.00-19.00], Selasa: [09.00-19.0",https://lh5.googleusercontent.com/p/AF1QipNnk_hW_nKPIPyBHE-n89Q-PQEK2ojoc6uV_6y2
Alfa Laundry,"Jl. Andir Swadaya No.61, Dungus Cariang, Kec. Andir, Kota Bandung, Jawa Barat 40",Dungus Cariang,Binatu,Asia/Jakarta,"(022) 6016843, +62 22 6016843",NO,None,None,None,https://www.google.com/maps?cid=13145153036378138287,-6.9151456,107.5833213,None,None,"Sabtu: [08.00-20.00], Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.0",https://lh3.googleusercontent.com/gps-proxy/ALd4DhEdsC2-nO9kpAP99hBPKyniuHfnzSF-
