Name,Fulladdress,Municipality,Categories,Time Zone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image
Kota Laundry,"Jl. Cempaka Putih Raya No.129b Lantai 2, RT.6/RW.6, Cemp. Putih Tim., Kec. Cemp.","RT.6/RW.6, Cemp. Putih Tim.",Layanan Binatu,Asia/Jakarta,"0855-5555-8888, +62 855-5555-8888",YES,922.0,4.9,https://search.google.com/local/reviews?placeid=ChIJhwoO97_1aS4RafDgCtyjBYk&q=la,https://www.google.com/maps?cid=9873477923550326889,-6.1763701,106.8728578,None,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPhqolW-4BkwkaGKMWkHz_gXCuiDD7KrXSlnjMA
JNV Laundry,"Jl. Rawasari Sel. No.8, RT.14/RW.2, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jak","RT.14/RW.2, Cemp. Putih Tim.",Binatu,Asia/Jakarta,"0812-8000-4680, +62 812-8000-4680",YES,275.0,4.9,https://search.google.com/local/reviews?placeid=ChIJKbgiMqT1aS4ROWoGb7cGvVU&q=la,https://www.google.com/maps?cid=6178101648733661753,-6.186465,106.8735152,http://jnvlaundry.com/,jnvlaundry.com,"Minggu: [08.00-22.00], Senin: [07.00-23.00], Selasa: [07.00-23.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipPx8JU38KPXe-72Z3L7VJ7D0p2pMIzqz0N86p9o
Dt Laundry,"Putih, Jl. Percetakan Negara No.D769 No.1, RT.4/RW.6, Cemp. Putih Bar., Cempaka,",Jl. Percetakan Negara No.D769 No.1,Layanan Binatu,Asia/Jakarta,"0812-8787-9428, +62 812-8787-9428",YES,31.0,4.8,https://search.google.com/local/reviews?placeid=ChIJs-paCff0aS4R3Qjc26m7QW4&q=la,https://www.google.com/maps?cid=7944837555870763229,-6.186833,106.868259,None,None,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPlh7briaW8PhXT9Zhg5t0puOrzCZXenfgm_t_I
Wish & Wash Laundry,"Jl. Cempaka Putih Tengah XVII No.31 1, RT.1/RW.5, Cemp. Putih Tim., Kec. Cemp. P","RT.1/RW.5, Cemp. Putih Tim.",Layanan Binatu,Asia/Jakarta,"0813-1155-8855, +62 813-1155-8855",YES,26.0,4.3,https://search.google.com/local/reviews?placeid=ChIJEzl90fj0aS4RaZqSLt7Du6Q&q=la,https://www.google.com/maps?cid=11870296601896589929,-6.1738718,106.8688241,None,None,"Minggu: [Tutup], Senin: [09.00-21.00], Selasa: [09.00-21.00], Rabu: [09.00-21.00",https://lh5.googleusercontent.com/p/AF1QipNkLwZvEHt_1MUHydEKtHwGzub8tmx7LqaDp5wV
Laundry 26,"Jl. Cempaka Putih Raya No.120, RT.8/RW.3, Cemp. Putih Tim., Kec. Cemp. Putih, Ko","RT.8/RW.3, Cemp. Putih Tim.",Binatu,Asia/Jakarta,"0877-9546-0166, +62 877-9546-0166",YES,83.0,5.0,https://search.google.com/local/reviews?placeid=ChIJFyFm5t_1aS4RLfvc-mvIxdg&q=la,https://www.google.com/maps?cid=15620111248700275501,-6.1770497,106.8749377,None,None,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipMTRGdZ34aqE2zBr0LQ1JEMmou9YO159af0wwgw
"aQualis Fabricare Laundry, Wet Clean & Green Dry Clean - Cempaka Putih","Jl. Cempaka Putih Tengah XIII No.56, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Ja",Cemp. Putih Tim.,Layanan Binatu,Asia/Jakarta,"0895-0390-7625, +62 895-0390-7625",YES,25.0,5.0,https://search.google.com/local/reviews?placeid=ChIJJ6HLe_70aS4RfSOj89QspvM&q=la,https://www.google.com/maps?cid=17556769490482701181,-6.176962,106.870323,None,None,"Minggu: [Tutup], Senin: [08.00-17.00], Selasa: [08.00-17.00], Rabu: [08.00-17.00",https://lh5.googleusercontent.com/p/AF1QipPDniDyLP9QSAEkIw5-uCzt38Hcxg8_jtrR-RTN
WEWASH Laundry - Cempaka Putih,"Jl. Cemp. Putih Tengah I No.17B, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakart",East Cempaka Putih,Layanan Binatu,Asia/Jakarta,"0877-1351-5781, +62 877-1351-5781",YES,26.0,5.0,https://search.google.com/local/reviews?placeid=ChIJlW1P6CX1aS4Rt73DTvb8zps&q=la,https://www.google.com/maps?cid=11227189055894830519,-6.1696767,106.8711479,https://www.instagram.com/wewashlaundry_cempakaputih,instagram.com,"Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.00-20.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipM5rfPIHE-U7ZjA_22gOpIJyuHIN0fsngVVS3WB
Rayyan Laundry Express,"Jl. Mardani Raya No.22, Cemp. Putih Bar., Kec. Cemp. Putih, Kota Jakarta Pusat, ",Cemp. Putih Bar.,Layanan Binatu,Asia/Jakarta,"0813-8777-7712, +62 813-8777-7712",YES,23.0,4.8,https://search.google.com/local/reviews?placeid=ChIJ7Q6chO71aS4RInTjPi9DIJk&q=la,https://www.google.com/maps?cid=11033892957255332898,-6.1866211,106.8633222,None,None,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMl-hjR2V6pETDce9nG6IOLSaun72zlRAmN36fH
Newclean Laundry cemput,"Jl. Cemp. Putih Barat No.29, RT.10/RW.1, Cemp. Putih Bar., Kec. Cemp. Putih, Kot","RT.10/RW.1, Cemp. Putih Bar.",Layanan Binatu,Asia/Jakarta,"0812-9255-5950, +62 812-9255-5950",YES,30.0,5.0,https://search.google.com/local/reviews?placeid=ChIJkUgVCQb1aS4RimsK3mK-Q7o&q=la,https://www.google.com/maps?cid=13421780646335507338,-6.1759528,106.8592665,None,None,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipN0o-pEnvhIMC3JRkGIVe7RZ4M5M0FXuoZv5jzc
Glow Laundry,"Jl. Rawasari Timur, RT.1/RW.1, Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat, D","RT.1/RW.1, Rawasari",Layanan Binatu,Asia/Jakarta,"0822-9755-4324, +62 822-9755-4324",YES,29.0,4.4,https://search.google.com/local/reviews?placeid=ChIJc3XAsoL1aS4RmA2CyskjagY&q=la,https://www.google.com/maps?cid=462221261351816600,-6.1847409,106.871607,None,None,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipN6rNwOp0sl4BC3Vm5_PReT-qDNXavu0YwdU8ir
