Name,Fulladdress,Municipality,Categories,Time Zone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image
Londi Laundry Digital 5 Semarang,"Jl. Durian Raya, Srondol Wetan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 5026",Srondol Wetan,Binatu,Asia/Jakarta,"0822-2303-5863, +62 822-2303-5863",YES,578,4.9,https://search.google.com/local/reviews?placeid=ChIJf0TzB86PcC4RyGFos1mnmRI&q=la,https://www.google.com/maps?cid=1340286367823323592,-7.0647974,110.4270713,None,None,"Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ",https://lh5.googleusercontent.com/p/AF1QipOIs6Bld37imx2U6gTUvFYeDr8bmSFBmBnK3cbW
Premium Plus Laundry Karangrejo Banyumanik,"Jl. Kr. Rejo Raya No.10, Banyumanik, Kec. Banyumanik, Kota Semarang, Jawa Tengah",Banyumanik,Binatu,Asia/Jakarta,"0813-8962-1980, +62 813-8962-1980",NO,31,4.7,https://search.google.com/local/reviews?placeid=ChIJMXVWwh2JcC4R_VD-aed4W_8&q=la,https://www.google.com/maps?cid=18400433637863346429,-7.0746131,110.4145668,None,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipNMleHDLRe_0GafIc0G151nKPNGyOEnJgxOkEQg
Hai Laundry Premium,"Blk. G Jl. Jati Raya No.5, Srondol Wetan, Kec. Banyumanik, Kota Semarang, Jawa T",Srondol Wetan,Layanan Binatu,Asia/Jakarta,"0899-5634-881, +62 899-5634-881",YES,22,4.6,https://search.google.com/local/reviews?placeid=ChIJUThIkpKJcC4Ryx7CAEAArBo&q=la,https://www.google.com/maps?cid=1921911415870987979,-7.0699345,110.419601,None,None,"Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.00-20.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipNwU-xLWVuywZsgCxJPkBsHf8licA8ud6NSLeqC
"Angel laundry, Banyumanik & cuci motor damar,","Jl. Kanfer Raya No.1 Blok V, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Te",Pedalangan,Binatu,Asia/Jakarta,"0857-4835-2513, +62 857-4835-2513",NO,21,4.8,https://search.google.com/local/reviews?placeid=ChIJARoVyUyJcC4RhjshILohwbg&q=la,https://www.google.com/maps?cid=13312959056770579334,-7.0712744,110.4299549,None,None,"Minggu: [06.00-21.00], Senin: [06.00-21.00], Selasa: [06.00-21.00], Rabu: [06.00",https://lh5.googleusercontent.com/p/AF1QipOhgPmrq9OFpbZ6aTwaQFs5ZApnDZKsfQn_YCU0
Tatarapi Laundry and Wet Clean,"Jl. Durian Raya No.16, Srondol Wetan, Kec. Banyumanik, Kota Semarang, Jawa Tenga",Srondol Wetan,"Layanan Binatu, Binatu",Asia/Jakarta,"0811-2898-818, +62 811-2898-818",YES,159,4.8,https://search.google.com/local/reviews?placeid=ChIJua7_aVOJcC4RxPtBXg3RLB4&q=la,https://www.google.com/maps?cid=2174342575459269572,-7.0609493,110.4155983,None,None,"Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.00-20.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipND7O2YyV9ORps28RO1zTxDd-bYPVdMWD7vuoZh
Star Laundry,"Jl. Ngesrep Tim. V No.78, Sumurboto, Kec. Banyumanik, Kota Semarang, Jawa Tengah",Sumurboto,Binatu Cucian Kering,Asia/Jakarta,"0851-0312-9670, +62 851-0312-9670",YES,118,4.9,https://search.google.com/local/reviews?placeid=ChIJ2fnIs_iLcC4RaOFWu-Y385k&q=la,https://www.google.com/maps?cid=11093271771268702568,-7.051225,110.42524,None,None,"Minggu: [08.00-20.30], Senin: [08.00-20.30], Selasa: [08.00-20.30], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipMG5Qd9zSJoJsNQvh0gDrmoLnjwvaSrqTmldF26
B Clean Laundry Banyumanik,"Jalan Kanfer Raya 1E, Pedalangan, Banyumanik, Padangsari, Kec. Banyumanik, Kota ",Padangsari,Binatu,Asia/Jakarta,"0815-6559-911, +62 815-6559-911",NO,47,3.9,https://search.google.com/local/reviews?placeid=ChIJM6sfh7OOcC4RwVJ9g7eqdEk&q=la,https://www.google.com/maps?cid=5293043167228940993,-7.0716367,110.4297487,None,None,"Minggu: [09.00-21.00], Senin: [09.00-21.00], Selasa: [09.00-21.00], Rabu: [09.00",https://lh5.googleusercontent.com/p/AF1QipNq8-kD-zIlTsirGwO0fHCXh5gHD2-d_3qv5kQd
"FLASH CLEAN LAUNDRY EXPRESS CABANG GEDAWANG, LAUNDRY SEPATU, STROLLER, BEDCOVER","RT.03/RW.08, Gedawang, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50266",Kec. Banyumanik,Layanan Binatu,Asia/Jakarta,"0858-7698-4888, +62 858-7698-4888",YES,31,5.0,https://search.google.com/local/reviews?placeid=ChIJNyMmdwCJcC4RQ5G-kcOQ2Mg&q=la,https://www.google.com/maps?cid=14472476572193296707,-7.0882501,110.4234521,https://www.flashlaundryexpress.com/,flashlaundryexpress.com,"Minggu: [06.30-20.00], Senin: [06.30-20.00], Selasa: [06.30-20.00], Rabu: [06.30",https://lh5.googleusercontent.com/p/AF1QipORVUYMjctkSw-gRUm2APZKFWp01sG9qgeg5Dyq
Homey Laundry,"Jl. Durian Raya No.9, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50",Pedalangan,Layanan Binatu,Asia/Jakarta,"0811-2898-688, +62 811-2898-688",YES,59,5.0,https://search.google.com/local/reviews?placeid=ChIJHyHxOySPcC4R38XXdu01uTw&q=la,https://www.google.com/maps?cid=4375587806984521183,-7.065029099999999,110.4287133,None,None,"Minggu: [08.00-22.00], Senin: [08.00-22.00], Selasa: [08.00-22.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipMmFi0UFvVZjOqVQmKdx3yB1oGaGTsu2x4dSRep
Laundry Semarang,"Jl. Tusam Raya L-6, Pedalangan, Kec. Banyumanik, Kota Semarang, Jawa Tengah 5026",Pedalangan,Binatu,Asia/Jakarta,"0821-1133-5757, +62 821-1133-5757",YES,79,4.5,https://search.google.com/local/reviews?placeid=ChIJGyJ46EyJcC4RF0SnM6yF0CU&q=la,https://www.google.com/maps?cid=2724824749206619159,-7.0700087,110.4243818,http://www.tukangcucilaundry.com/,tukangcucilaundry.com,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipNUnWwoZHN38NcEXO8QkS5-pHq4G9pf1iMTtAzc
