"Name","Description","Fulladdress","Street","Municipality","Categories","Time Zone","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id"
"Kota Laundry",*,"Jl. Cempaka Putih Raya No.129b Lantai 2, RT.6/RW.6, Cemp. Putih Tim., Kec. Cemp.","Jl. Cempaka Putih Raya No.129b Lantai 2","RT.6/RW.6, Cemp. Putih Tim.","Layanan Binatu","Asia/Jakarta",*,"0855-5555-8888","0855-5555-8888, +62 855-5555-8888","YES",922,4.9,"https://search.google.com/local/reviews?placeid=ChIJhwoO97_1aS4RafDgCtyjBYk&q=la","https://www.google.com/maps?cid=9873477923550326889",-6.1763701,106.87285779999999,,,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipPhqolW-4BkwkaGKMWkHz_gXCuiDD7KrXSlnjMA",*,"0x2e69f5bff70e0a87:0x8905a3dc0ae0f069","ChIJhwoO97_1aS4RafDgCtyjBYk"
"JNV Laundry",*,"Jl. Rawasari Sel. No.8, RT.14/RW.2, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jak","Jl. Rawasari Sel. No.8","RT.14/RW.2, Cemp. Putih Tim.","Binatu","Asia/Jakarta",*,"0812-8000-4680","0812-8000-4680, +62 812-8000-4680","YES",275,4.9,"https://search.google.com/local/reviews?placeid=ChIJKbgiMqT1aS4ROWoGb7cGvVU&q=la","https://www.google.com/maps?cid=6178101648733661753",-6.186465,106.8735152,"http://jnvlaundry.com/","jnvlaundry.com","Minggu: [08.00-22.00], Senin: [07.00-23.00], Selasa: [07.00-23.00], Rabu: [07.00","https://lh5.googleusercontent.com/p/AF1QipPx8JU38KPXe-72Z3L7VJ7D0p2pMIzqz0N86p9o",*,"0x2e69f5a43222b829:0x55bd06b76f066a39","ChIJKbgiMqT1aS4ROWoGb7cGvVU"
"Dt Laundry",*,"Putih, Jl. Percetakan Negara No.D769 No.1, RT.4/RW.6, Cemp. Putih Bar., Cempaka,","Putih","Jl. Percetakan Negara No.D769 No.1","Layanan Binatu","Asia/Jakarta",*,"0812-8787-9428","0812-8787-9428, +62 812-8787-9428","YES",31,4.8,"https://search.google.com/local/reviews?placeid=ChIJs-paCff0aS4R3Qjc26m7QW4&q=la","https://www.google.com/maps?cid=7944837555870763229",-6.186833,106.868259,,,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipPlh7briaW8PhXT9Zhg5t0puOrzCZXenfgm_t_I",*,"0x2e69f4f7095aeab3:0x6e41bba9dbdc08dd","ChIJs-paCff0aS4R3Qjc26m7QW4"
"Wish & Wash Laundry",*,"Jl. Cempaka Putih Tengah XVII No.31 1, RT.1/RW.5, Cemp. Putih Tim., Kec. Cemp. P","Jl. Cempaka Putih Tengah XVII No.31 1","RT.1/RW.5, Cemp. Putih Tim.","Layanan Binatu","Asia/Jakarta",*,"0813-1155-8855","0813-1155-8855, +62 813-1155-8855","YES",26,4.3,"https://search.google.com/local/reviews?placeid=ChIJEzl90fj0aS4RaZqSLt7Du6Q&q=la","https://www.google.com/maps?cid=11870296601896589929",-6.1738718,106.8688241,,,"Minggu: [Tutup], Senin: [09.00-21.00], Selasa: [09.00-21.00], Rabu: [09.00-21.00","https://lh5.googleusercontent.com/p/AF1QipNkLwZvEHt_1MUHydEKtHwGzub8tmx7LqaDp5wV",*,"0x2e69f4f8d17d3913:0xa4bbc3de2e929a69","ChIJEzl90fj0aS4RaZqSLt7Du6Q"
"Laundry 26",*,"Jl. Cempaka Putih Raya No.120, RT.8/RW.3, Cemp. Putih Tim., Kec. Cemp. Putih, Ko","Jl. Cempaka Putih Raya No.120","RT.8/RW.3, Cemp. Putih Tim.","Binatu","Asia/Jakarta",*,"0877-9546-0166","0877-9546-0166, +62 877-9546-0166","YES",83,5,"https://search.google.com/local/reviews?placeid=ChIJFyFm5t_1aS4RLfvc-mvIxdg&q=la","https://www.google.com/maps?cid=15620111248700275501",-6.1770496999999995,106.87493769999999,,,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipMTRGdZ34aqE2zBr0LQ1JEMmou9YO159af0wwgw",*,"0x2e69f5dfe6662117:0xd8c5c86bfadcfb2d","ChIJFyFm5t_1aS4RLfvc-mvIxdg"
"aQualis Fabricare Laundry, Wet Clean & Green Dry Clean - Cempaka Putih",*,"Jl. Cempaka Putih Tengah XIII No.56, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Ja","Jl. Cempaka Putih Tengah XIII No.56","Cemp. Putih Tim.","Layanan Binatu","Asia/Jakarta",*,"0895-0390-7625","0895-0390-7625, +62 895-0390-7625","YES",25,5,"https://search.google.com/local/reviews?placeid=ChIJJ6HLe_70aS4RfSOj89QspvM&q=la","https://www.google.com/maps?cid=17556769490482701181",-6.176962,106.870323,,,"Minggu: [Tutup], Senin: [08.00-17.00], Selasa: [08.00-17.00], Rabu: [08.00-17.00","https://lh5.googleusercontent.com/p/AF1QipPDniDyLP9QSAEkIw5-uCzt38Hcxg8_jtrR-RTN",*,"0x2e69f4fe7bcba127:0xf3a62cd4f3a3237d","ChIJJ6HLe_70aS4RfSOj89QspvM"
"WEWASH Laundry - Cempaka Putih",*,"Jl. Cemp. Putih Tengah I No.17B, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakart","Jl. Cemp. Putih Tengah I No.17B","East Cempaka Putih","Layanan Binatu","Asia/Jakarta",*,"0877-1351-5781","0877-1351-5781, +62 877-1351-5781","YES",26,5,"https://search.google.com/local/reviews?placeid=ChIJlW1P6CX1aS4Rt73DTvb8zps&q=la","https://www.google.com/maps?cid=11227189055894830519",-6.1696767,106.8711479,"https://www.instagram.com/wewashlaundry_cempakaputih","instagram.com","Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.00-20.00], Rabu: [07.00","https://lh5.googleusercontent.com/p/AF1QipM5rfPIHE-U7ZjA_22gOpIJyuHIN0fsngVVS3WB",*,"0x2e69f525e84f6d95:0x9bcefcf64ec3bdb7","ChIJlW1P6CX1aS4Rt73DTvb8zps"
"Rayyan Laundry Express",*,"Jl. Mardani Raya No.22, Cemp. Putih Bar., Kec. Cemp. Putih, Kota Jakarta Pusat, ","Jl. Mardani Raya No.22","Cemp. Putih Bar.","Layanan Binatu","Asia/Jakarta",*,"0813-8777-7712","0813-8777-7712, +62 813-8777-7712","YES",23,4.8,"https://search.google.com/local/reviews?placeid=ChIJ7Q6chO71aS4RInTjPi9DIJk&q=la","https://www.google.com/maps?cid=11033892957255332898",-6.1866211,106.8633222,,,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00","https://lh5.googleusercontent.com/p/AF1QipMl-hjR2V6pETDce9nG6IOLSaun72zlRAmN36fH",*,"0x2e69f5ee849c0eed:0x9920432f3ee37422","ChIJ7Q6chO71aS4RInTjPi9DIJk"
"Newclean Laundry cemput",*,"Jl. Cemp. Putih Barat No.29, RT.10/RW.1, Cemp. Putih Bar., Kec. Cemp. Putih, Kot","Jl. Cemp. Putih Barat No.29","RT.10/RW.1, Cemp. Putih Bar.","Layanan Binatu","Asia/Jakarta",*,"0812-9255-5950","0812-9255-5950, +62 812-9255-5950","YES",30,5,"https://search.google.com/local/reviews?placeid=ChIJkUgVCQb1aS4RimsK3mK-Q7o&q=la","https://www.google.com/maps?cid=13421780646335507338",-6.1759528,106.85926649999999,,,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipN0o-pEnvhIMC3JRkGIVe7RZ4M5M0FXuoZv5jzc",*,"0x2e69f50609154891:0xba43be62de0a6b8a","ChIJkUgVCQb1aS4RimsK3mK-Q7o"
"Glow Laundry",*,"Jl. Rawasari Timur, RT.1/RW.1, Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat, D","Jl. Rawasari Timur","RT.1/RW.1, Rawasari","Layanan Binatu","Asia/Jakarta",*,"0822-9755-4324","0822-9755-4324, +62 822-9755-4324","YES",29,4.4,"https://search.google.com/local/reviews?placeid=ChIJc3XAsoL1aS4RmA2CyskjagY&q=la","https://www.google.com/maps?cid=462221261351816600",-6.1847408999999995,106.871607,,,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00","https://lh5.googleusercontent.com/p/AF1QipN6rNwOp0sl4BC3Vm5_PReT-qDNXavu0YwdU8ir",4.622212613518166E+17,"0x2e69f582b2c07573:0x66a23c9ca820d98","ChIJc3XAsoL1aS4RmA2CyskjagY"
