"Name","Description","Fulladdress","Street","Municipality","Categories","Time Zone","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id"
"G&G Medan Express Laundry",*,"Jl. Seksama No.93, Sitirejo III, Kec. Medan Amplas, Kota Medan, Sumatera Utara 2","Jl. Seksama No.93","Sitirejo III","Layanan Binatu","Asia/Jakarta",*,,,"NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJU7Kv6aExMTARCGifpqJgKT8&q=la","https://www.google.com/maps?cid=4551275150131030024",3.5520085999999997,98.7136317,*,*,,"https://lh5.googleusercontent.com/p/AF1QipNBA5lG6Uar_jeqJ4hM-1ZRqcl7PLghgU_4MIsg",*,"0x303131a1e9afb253:0x3f2960a2a69f6808","ChIJU7Kv6aExMTARCGifpqJgKT8"
"Fathia Laundry",*,"Jl. Garu II A, Harjosari I, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20147","Jl. Garu II A","Harjosari I","Binatu","Asia/Jakarta",*,"0823-6799-9920","0823-6799-9920, +62 823-6799-9920","YES",43,5,"https://search.google.com/local/reviews?placeid=ChIJwcSI9joxMTARLehZEoUNBNY&q=la","https://www.google.com/maps?cid=15421465889213114413",3.5456277,98.70253609999999,*,*,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipNXkNUUZmN9d9829DdZHN2cK7KiXjcPYHFxCTsx",*,"0x3031313af688c4c1:0xd6040d851259e82d","ChIJwcSI9joxMTARLehZEoUNBNY"
"ocean fresh laundry",*,"A M P L A S, Medan Amplas, A M P L A S, Kec. Medan Amplas, Kota Medan, Sumatera ","A M P L A S, Medan Amplas","A M P L A S","Layanan Binatu","Asia/Jakarta",*,,,"YES",1,5,"https://search.google.com/local/reviews?placeid=ChIJ2_5OLCMxMTARqwdZMBISi_E&q=la","https://www.google.com/maps?cid=17405025054233266091",3.5517830999999997,98.7179786,*,*,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B1RttkihkMlq8l1xC",*,"0x303131232c4efedb:0xf18b1212305907ab","ChIJ2_5OLCMxMTARqwdZMBISi_E"
"PRATAMA Laundry",*,"Jl. Panglima Denai No.104, A M P L A S, Kec. Medan Amplas, Kota Medan, Sumatera ","Jl. Panglima Denai No.104","A M P L A S","Binatu","Asia/Jakarta",*,,,"YES",2,5,"https://search.google.com/local/reviews?placeid=ChIJHbd2L7UxMTARGCHkkw9uUPY&q=la","https://www.google.com/maps?cid=17748807144651890968",3.5484378,98.7162726,*,*,"Minggu: [08.00-17.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipPIpRrsa15tIO_Q643WFSO1IQ1BO9QXRhwIEsRJ",*,"0x303131b52f76b71d:0xf6506e0f93e42118","ChIJHbd2L7UxMTARGCHkkw9uUPY"
"Nayala Laundry",*,"GMGW+HPM, Jl. Swadaya, gg.pete, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20","GMGW+HPM","Jl. Swadaya","Binatu","Asia/Jakarta",*,"0812-6470-0604","0812-6470-0604, +62 812-6470-0604","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJNQvrBt47MTARqyKJzw9uPZw&q=la","https://www.google.com/maps?cid=11258275657681543851",3.5264591999999997,98.6968022,*,*,"Minggu: [Tutup], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00-21.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uWYCgM9vZm7KbpZix",*,"0x30313bde06eb0b35:0x9c3d6e0fcf8922ab","ChIJNQvrBt47MTARqyKJzw9uPZw"
"Nadine Laundry",*,"GMVX+GX5, Harjosari I, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20217","GMVX+GX5","Harjosari I","Binatu","Asia/Jakarta",*,"0852-7093-5395","0852-7093-5395, +62 852-7093-5395","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJ1dt8zCAxMTARa-4VlvF2X5U&q=la","https://www.google.com/maps?cid=10763452414415990379",3.5437726,98.6999927,*,*,"Minggu: [Tutup], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00-21.00","https://lh5.googleusercontent.com/p/AF1QipOK2dJmE8Y_TraLofOJH50G1o-4Hx2EIGrbZrNF",*,"0x30313120cc7cdbd5:0x955f76f19615ee6b","ChIJ1dt8zCAxMTARa-4VlvF2X5U"
"Berkah Laundry Express",*,"GPM7+26C, Harjosari II, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20148","GPM7+26C","Harjosari II","Binatu","Asia/Jakarta",*,,,"YES",3,5,"https://search.google.com/local/reviews?placeid=ChIJI9WFBAA7MTARcXpwleqbZVE&q=la","https://www.google.com/maps?cid=5865265521551768177",3.5327740999999997,98.7127252,*,*,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipP5OZTM9JuEa0ndviGBYj8SqvhGhKVmY0Zxrl0B",*,"0x30313b000485d523:0x51659bea95707a71","ChIJI9WFBAA7MTARcXpwleqbZVE"
"Hezi Laundry",*,"GPW6+5G7, Gg. Bakti, Harjosari I, Kec. Medan Amplas, Kota Medan, Sumatera Utara","GPW6+5G7","Gg. Bakti","Binatu","Asia/Jakarta",*,,,"NO",4,5,"https://search.google.com/local/reviews?placeid=ChIJscXbm58xMTARAgsV3g_1rCE&q=la","https://www.google.com/maps?cid=2426583747745090306",3.5454016,98.71129889999999,*,*,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00","https://lh5.googleusercontent.com/p/AF1QipNBNsWt9KlqKEv16wXczFGndgPUtEFzxiJ8anpI",*,"0x3031319f9bdbc5b1:0x21acf50fde150b02","ChIJscXbm58xMTARAgsV3g_1rCE"
"Dinar Laundry",*,"GPJC+4P4, Jl. Pelita, Timbang Deli, Kec. Medan Amplas, Kota Medan, Sumatera Utar","GPJC+4P4","Jl. Pelita","Layanan Binatu","Asia/Jakarta",*,,,"NO",20,5,"https://search.google.com/local/reviews?placeid=ChIJ-yItGuU7MTAR0rHkiFOkJ5I&q=la","https://www.google.com/maps?cid=10531566932315124178",3.5302518999999997,98.72182389999999,*,*,"Minggu: [09.30-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipPDbPxyKVE5lnrrVzlnVjRwEJ36_C5U1maxOK0A",*,"0x30313be51a2d22fb:0x9227a45388e4b1d2","ChIJ-yItGuU7MTAR0rHkiFOkJ5I"
"Queen laundry express siap 1 hari",*,"Jl. Garu 1 No.144, Sitirejo III, Kec. Medan Amplas, Kota Medan, Sumatera Utara 2","Jl. Garu 1 No.144","Sitirejo III","Layanan Binatu","Asia/Jakarta",*,"0813-6239-6604","0813-6239-6604, +62 813-6239-6604","YES",1,5,"https://search.google.com/local/reviews?placeid=ChIJCVTCwfcxMTARsAMeNI1QyeE&q=la","https://www.google.com/maps?cid=16269623696247620528",3.5474778999999996,98.7087411,*,*,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipPbMFRP24gDmuYzqxMeyy1HBmngqwhke_V7o0-o",*,"0x303131f7c1c25409:0xe1c9508d341e03b0","ChIJCVTCwfcxMTARsAMeNI1QyeE"
