"Name","Description","Fulladdress","Street","Municipality","Categories","Time Zone","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id"
"Rabbani Laundry",,"Jl. Asem Raya No.5, Asem Rowo, Kec. Asem Rowo, Surabaya, Jawa Timur 60182","Jl. Asem Raya No.5","Asem Rowo","Layanan Binatu","Asia/Jakarta",,"0811-3323-578","0811-3323-578, +62 811-3323-578","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJGwvxfgD_1y0RGQMgSL0SMJw&q=la","https://www.google.com/maps?cid=11254516072967045913",-7.2522611999999995,112.7148289,,,"Sabtu: [09.00-19.00], Minggu: [09.00-19.00], Senin: [09.00-19.00], Selasa: [09.0","https://lh5.googleusercontent.com/p/AF1QipN2KgE8P7xHnOg0a-_ZAFx-GCWfhjTMXw0qTeNW",*,"0x2dd7ff007ef10b1b:0x9c3012bd48200319","ChIJGwvxfgD_1y0RGQMgSL0SMJw"
"ZAM ZAM Laundry",,"Asemrowo IV No.16, Asem Rowo, Kec. Asem Rowo, Surabaya, Jawa Timur 60182","Asemrowo IV No.16","Asem Rowo","Layanan Binatu","Asia/Jakarta",,"0812-3788-1953","0812-3788-1953, +62 812-3788-1953","YES",7,5,"https://search.google.com/local/reviews?placeid=ChIJr06jWlL_1y0RZN2GvucsgF8&q=la","https://www.google.com/maps?cid=6881549604467694948",-7.2506723,112.71483529999999,,,"Sabtu: [07.00-20.00], Minggu: [Tutup], Senin: [07.00-20.00], Selasa: [07.00-20.0","https://lh5.googleusercontent.com/p/AF1QipOL_LD1mPr_v6dzcQpr7ISKKGEnBQq-Bi9Wc0bP",*,"0x2dd7ff525aa34eaf:0x5f802ce7be86dd64","ChIJr06jWlL_1y0RZN2GvucsgF8"
"Twin laundry",,"Jl. Asem Rowo Baru No.32, RT.001/RW.03, Asem Rowo, Kec. Asem Rowo, Surabaya, Jaw","Jl. Asem Rowo Baru No.32","RT.001/RW.03, Asem Rowo","Binatu","Asia/Jakarta",,"0822-5545-2932","0822-5545-2932, +62 822-5545-2932","NO",*,*,,"https://www.google.com/maps?cid=16313882691658444545",-7.2548737,112.7150131,,,"Sabtu: [07.00-21.00], Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.0","https://lh5.googleusercontent.com/p/AF1QipP39zP2OcwgDZd4lP3HRMuFYWiqphr-CgUw23Ou",*,"0x2dd7ff02f4e34d6b:0xe2668ddf97b1ef01","ChIJa03j9AL_1y0RAe-xl9-NZuI"
"EXPRESS Laundry",,"Jl. Asem Mulya V No.20, Asem Rowo, Kec. Asem Rowo, Surabaya, Jawa Timur 60182","Jl. Asem Mulya V No.20","Asem Rowo","Binatu Cucian Kering","Asia/Jakarta",,"0817-0344-1469","0817-0344-1469, +62 817-0344-1469","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJNw4bTYz_1y0RNAeWN_nrNh8&q=la","https://www.google.com/maps?cid=2249244519530104628",-7.253744999999999,112.71360209999999,,,"Sabtu: [06.00-21.00], Minggu: [06.00-21.00], Senin: [06.00-21.00], Selasa: [06.0","https://lh5.googleusercontent.com/p/AF1QipPZuf86078nlJ44L-vRSeyNfXK4Z5ZJB3PVOdtG",*,"0x2dd7ff8c4d1b0e37:0x1f36ebf937960734","ChIJNw4bTYz_1y0RNAeWN_nrNh8"
"Laundry Asbar 22",,"Jl. Asem Rowo Baru No.22, Asem Rowo, Kec. Asem Rowo, Surabaya, Jawa Timur 60182","Jl. Asem Rowo Baru No.22","Asem Rowo","Binatu","Asia/Jakarta",,"0896-6787-2625","0896-6787-2625, +62 896-6787-2625","YES",3,4.7,"https://search.google.com/local/reviews?placeid=ChIJ7YnYSrP-1y0RnOTQ0f4nq7I&q=la","https://www.google.com/maps?cid=12874427935163999388",-7.254366999999999,112.715154,,,"Sabtu: [06.00-21.00], Minggu: [06.00-21.00], Senin: [06.00-21.00], Selasa: [06.0","https://lh5.googleusercontent.com/p/AF1QipOyf3A-XXMa0ETiZo07igqv7ZP_WkjyXy6V8EPl",*,"0x2dd7feb34ad889ed:0xb2ab27fed1d0e49c","ChIJ7YnYSrP-1y0RnOTQ0f4nq7I"
"Noni Laundry",,"Jalan, Asemrowo Gg. Mulya No.37, Asem Rowo, Kec. Asem Rowo, Surabaya, Jawa Timur","Jalan","Asemrowo Gg. Mulya No.37","Binatu","Asia/Jakarta",,"0838-3131-1183","0838-3131-1183, +62 838-3131-1183","YES",*,*,,"https://www.google.com/maps?cid=17350984052935716090",-7.25272,112.714114,,,"Sabtu: [08.00-22.00], Minggu: [08.00-22.00], Senin: [08.00-22.00], Selasa: [08.0","https://lh5.googleusercontent.com/p/AF1QipOX2R9OUMI_exrAk89Tj7F5YxYMXY10aBEkYmcL",*,"0x2dd7feb4a4a8c353:0xf0cb141112b36cfa","ChIJU8OopLT-1y0R-myzEhEUy_A"
"Astria laundry",,"no, Jl. Asemrowo V No.41, Asem Rowo, Kec. Asem Rowo, Surabaya, Jawa Timur 60182","no","Jl. Asemrowo V No.41","Binatu Cucian Kering","Asia/Jakarta",,"0838-5442-1156","0838-5442-1156, +62 838-5442-1156","NO",1,3,"https://search.google.com/local/reviews?placeid=ChIJOZyzJbX-1y0R-xg3O0y3qJs&q=la","https://www.google.com/maps?cid=11216416410005084411",-7.250375,112.714294,,,"Sabtu: [08.00-20.00], Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.0",,*,"0x2dd7feb525b39c39:0x9ba8b74c3b3718fb","ChIJOZyzJbX-1y0R-xg3O0y3qJs"
"Laundry Asia",,"Jl. Asem Rowo Baru No.22, Asem Rowo, Kec. Asem Rowo, Surabaya, Jawa Timur 60182","Jl. Asem Rowo Baru No.22","Asem Rowo","Binatu","Asia/Jakarta",,"0823-3108-1963","0823-3108-1963, +62 823-3108-1963","NO",2,4,"https://search.google.com/local/reviews?placeid=ChIJ7YnYSrP-1y0RKzfHrvvcaJ4&q=la","https://www.google.com/maps?cid=11414616229097715499",-7.254366999999999,112.715154,,,"Sabtu: [06.00-21.00], Minggu: [06.00-21.00], Senin: [06.00-21.00], Selasa: [06.0","https://lh5.googleusercontent.com/p/AF1QipMa1CP86gj5N6ZIz9uduyjeVWmAf4I8EK4E3NIO",*,"0x2dd7feb34ad889ed:0x9e68dcfbaec7372b","ChIJ7YnYSrP-1y0RKzfHrvvcaJ4"
"Khayla Laundry Express",,"Jl. Asem Mulya Gg. III No.2, Asem Rowo, Kec. Asem Rowo, Surabaya, Jawa Timur 601","Jl. Asem Mulya Gg. III No.2","Asem Rowo","Layanan Binatu","Asia/Jakarta",,"0857-5551-1864","0857-5551-1864, +62 857-5551-1864","YES",14,4.4,"https://search.google.com/local/reviews?placeid=ChIJpUFqnrT-1y0RlBSdaby0qhE&q=la","https://www.google.com/maps?cid=1273028566004339860",-7.2532551,112.71340509999999,,,"Sabtu: [08.00-20.00], Minggu: [08.00-16.00], Senin: [08.00-20.00], Selasa: [08.0","https://lh5.googleusercontent.com/p/AF1QipOBAUUFEl0AgHCpTEcVHYJnHTaGfcgOlLViO-ad",*,"0x2dd7feb49e6a41a5:0x11aab4bc699d1494","ChIJpUFqnrT-1y0RlBSdaby0qhE"
"Salvatory Laundry",,"Gg. Punden No.3a, Asem Rowo, Kec. Asem Rowo, Surabaya, Jawa Timur 60182","Gg. Punden No.3a","Asem Rowo","Binatu","Asia/Jakarta",,"0852-3121-7575","0852-3121-7575, +62 852-3121-7575","YES",6,5,"https://search.google.com/local/reviews?placeid=ChIJmwPih8L_1y0RmvWdYNcGjXQ&q=la","https://www.google.com/maps?cid=8398376402224543130",-7.2520152,112.71550479999999,,,"Sabtu: [08.00-16.00], Minggu: [Tutup], Senin: [08.00-16.00], Selasa: [08.00-16.0","https://lh5.googleusercontent.com/p/AF1QipOHqv3vmIcJPW9XXoHnVVxxDbDNwLDal6JpXNRx",*,"0x2dd7ffc287e2039b:0x748d06d7609df59a","ChIJmwPih8L_1y0RmvWdYNcGjXQ"
